date,iso_code,new_cases_smoothed,new_deaths_smoothed,population,num_vacunes
2020/03/10,SWE,56,0.143,10099270,
2020/03/11,AUT,31,0,9006400,
2020/03/11,BEL,41.571,0.429,11589616,
2020/03/11,BGR,,,6948445,
2020/03/11,CYP,,,875899,
2020/03/11,CZE,11.857,0,10708982,
2020/03/11,DEU,235.143,0.429,83783945,
2020/03/11,DNK,61.857,0,5792203,
2020/03/11,ESP,293.571,7.429,46754783,
2020/03/11,EST,2,0,1326539,
2020/03/11,FIN,7.571,0,5540718,
2020/03/11,FRA,286.429,6.286,67564251,
2020/03/11,GRC,12.857,0.143,10423056,
2020/03/11,HRV,1.286,0,4105268,
2020/03/11,HUN,1.571,0,9660350,
2020/03/11,IRL,5.286,0.143,4937796,
2020/03/11,ISL,8.429,0,341250,
2020/03/11,ITA,1339,102.857,60461828,
2020/03/11,LIE,0,0,38137,
2020/03/11,LTU,0.286,0,2722291,
2020/03/11,LUX,0.857,0,625976,
2020/03/11,LVA,1.286,0,1886202,
2020/03/11,MLT,,,441539,
2020/03/11,NLD,66.429,0.714,17134873,
2020/03/11,NOR,77.429,0,5421242,
2020/03/11,POL,4.286,0,37846605,
2020/03/11,PRT,7.714,0,10196707,
2020/03/11,ROU,5.857,0,19237682,
2020/03/11,SVK,1.429,0,5459643,
2020/03/11,SVN,8.143,0,2078932,
2020/03/11,SWE,79.714,0.143,10099270,
2020/03/12,AUT,37.286,0.143,9006400,
2020/03/12,BEL,37.714,0.429,11589616,
2020/03/12,BGR,,,6948445,
2020/03/12,CYP,,,875899,
2020/03/12,CZE,11.714,0,10708982,
2020/03/12,DEU,228,0.429,83783945,
2020/03/12,DNK,86.571,0,5792203,
2020/03/12,ESP,288.286,7.429,46754783,
2020/03/12,EST,1.857,0,1326539,
2020/03/12,FIN,6.714,0,5540718,
2020/03/12,FRA,266.714,5.857,67564251,
2020/03/12,GRC,9.714,0.143,10423056,
2020/03/12,HRV,1.286,0,4105268,
2020/03/12,HUN,1.571,0,9660350,
